Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Control,High Value,240.55,300.01,74.7,73.9,No
Treatment,High Value,246.86,381.34,100.0,100.0,Yes
Control,High Value,156.98,179.33,98.8,100.0,No
Control,Medium Value,192.13,229.28,49.3,39.8,Yes
,High Value,229.69,280.53,84.0,87.7,Yes
Treatment,,135.57,218.56,58.1,69.4,No
Control,High Value,191.71,222.41,90.0,85.1,Yes
Control,Low Value,173.75,213.17,67.0,67.9,
,High Value,208.31,248.18,95.4,84.8,Yes
Treatment,High Value,235.07,352.76,72.9,70.8,No
Control,Low Value,139.93,170.24,59.8,73.9,Yes
Control,High Value,203.79,333.06,74.4,67.9,
Control,,211.83,254.84,70.3,87.6,Yes
Control,High Value,217.78,259.99,100.0,100.0,Yes
,Medium Value,173.18,284.92,81.9,73.9,No
Control,Low Value,188.34,232.58,53.5,63.5,Yes
Treatment,,306.7,477.37,77.4,78.4,
Treatment,Low Value,164.64,242.32,50.6,63.5,No
Treatment,,151.73,231.62,51.6,73.9,Yes
Control,Low Value,136.64,162.72,50.3,47.0,Yes
Treatment,High Value,225.16,355.21,70.3,95.1,No
Control,High Value,215.28,264.3,83.3,100.0,Yes
Treatment,Low Value,182.99,277.89,51.4,64.4,No
Treatment,Medium Value,216.75,342.64,70.3,68.3,Yes
Treatment,Low Value,193.37,293.18,57.8,62.9,No
Treatment,Medium Value,199.9,317.39,74.9,75.3,No
Treatment,Low Value,263.2,280.53,56.3,45.3,Yes
Treatment,Low Value,213.22,341.43,45.4,46.5,No
Treatment,Low Value,128.77,202.58,55.0,42.7,No
Treatment,High Value,134.02,205.54,70.3,86.3,Yes
Control,Medium Value,162.79,197.09,64.8,71.8,Yes
Control,Medium Value,203.79,256.8,72.5,73.9,No
Treatment,Low Value,145.4,226.85,59.3,53.2,No
Treatment,High Value,203.79,132.29,39.4,100.0,No
,High Value,226.64,355.98,79.3,73.9,No
Control,Medium Value,177.48,211.3,69.5,71.9,No
Treatment,High Value,109.27,280.53,99.2,100.0,Yes
,Medium Value,203.85,243.77,39.3,73.9,Yes
,Medium Value,236.35,278.02,70.3,73.6,Yes
Control,,203.79,177.55,70.3,83.8,No
Control,,228.0,280.53,92.4,97.5,Yes
Control,,145.8,280.53,68.5,62.9,Yes
,Medium Value,169.78,255.36,79.4,100.0,Yes
Treatment,Low Value,201.26,297.59,70.3,76.0,No
Treatment,Medium Value,233.97,366.83,67.7,78.1,Yes
Treatment,,236.6,377.37,62.0,40.8,No
Treatment,,189.73,304.51,55.4,62.8,No
Control,Low Value,242.92,296.5,50.4,73.9,No
Treatment,High Value,189.3,293.19,86.8,100.0,Yes
Treatment,,172.71,273.79,70.3,73.9,Yes
Control,High Value,88.04,91.62,87.6,73.9,Yes
Treatment,High Value,213.83,327.93,81.5,92.6,No
Control,,203.93,245.75,70.3,64.1,Yes
Treatment,High Value,240.14,376.41,41.0,35.0,No
,Medium Value,174.95,206.48,70.5,73.9,No
Treatment,,223.11,349.12,46.7,34.2,Yes
Treatment,Medium Value,193.18,310.2,76.5,79.2,Yes
Control,Medium Value,237.86,279.77,72.0,60.5,No
Control,Low Value,204.34,280.53,43.1,38.9,No
Control,Medium Value,203.79,243.77,68.3,73.9,Yes
,Low Value,194.14,223.48,55.3,56.4,No
,Medium Value,230.72,278.49,90.2,73.9,Yes
Control,Low Value,172.64,206.6,57.3,70.7,No
Control,,187.09,225.03,70.3,86.8,Yes
,Medium Value,203.79,276.11,70.3,76.8,No
,Low Value,254.8,280.53,49.9,54.7,
Treatment,,170.09,269.26,68.2,76.6,No
Control,Medium Value,193.85,235.24,70.3,100.0,Yes
Treatment,Medium Value,204.41,329.59,63.9,70.4,No
Treatment,Low Value,203.79,332.37,51.4,71.7,Yes
Treatment,High Value,242.43,379.39,68.7,75.7,No
Treatment,High Value,280.11,445.86,70.3,73.9,No
Control,High Value,316.72,393.67,70.2,88.8,Yes
Treatment,Low Value,159.5,280.53,49.4,73.9,No
Control,High Value,203.79,297.43,70.3,94.2,No
