id,order_date,delivery_date,event_time,registration_date,expiration_date,customer_id,quantity,status,order_date_year,order_date_month,order_date_day,order_date_dayofweek,order_date_quarter,order_date_is_weekend,order_date_is_month_end,order_date_is_quarter_end,order_date_fiscal_quarter,order_date_season,delivery_date_year,delivery_date_month,delivery_date_day,delivery_date_dayofweek,delivery_date_quarter,delivery_date_is_weekend,delivery_date_is_month_end,delivery_date_is_quarter_end,delivery_date_fiscal_quarter,delivery_date_season,event_time_year,event_time_month,event_time_day,event_time_dayofweek,event_time_quarter,event_time_is_weekend,event_time_is_month_end,event_time_is_quarter_end,event_time_fiscal_quarter,event_time_season,registration_date_year,registration_date_month,registration_date_day,registration_date_dayofweek,registration_date_quarter,registration_date_is_weekend,registration_date_is_month_end,registration_date_is_quarter_end,registration_date_fiscal_quarter,registration_date_season,expiration_date_year,expiration_date_month,expiration_date_day,expiration_date_dayofweek,expiration_date_quarter,expiration_date_is_weekend,expiration_date_is_month_end,expiration_date_is_quarter_end,expiration_date_fiscal_quarter,expiration_date_season,customer_id_year,customer_id_month,customer_id_day,customer_id_dayofweek,customer_id_quarter,customer_id_is_weekend,customer_id_is_month_end,customer_id_is_quarter_end,customer_id_fiscal_quarter,customer_id_season
1,2024-01-01,2024-01-05 00:00:00,,2023-11-15,2025-11-15,,5,completed,2024.0,1.0,1.0,0.0,1.0,0,0,0,2.0,4.0,2024,1,5,4,1,0,0,0,2,4,,,,,,0,0,0,,,2023,11,15,2,4,0,0,0,1,3,2025,11,15,5,4,1,0,0,1,3,,,,,,0,0,0,,
2,2024-01-02,2024-01-07 00:00:00,,2023-10-20,2025-10-20,,2,completed,2024.0,1.0,2.0,1.0,1.0,0,0,0,2.0,4.0,2024,1,7,6,1,1,0,0,2,4,,,,,,0,0,0,,,2023,10,20,4,4,0,0,0,1,3,2025,10,20,0,4,0,0,0,1,3,,,,,,0,0,0,,
3,2024-01-03,2024-01-08 12:00:00,,2023-09-30,2025-09-30,,1,canceled,2024.0,1.0,3.0,2.0,1.0,0,0,0,2.0,4.0,2024,1,8,0,1,0,0,0,2,4,,,,,,0,0,0,,,2023,9,30,5,3,1,1,1,4,3,2025,9,30,1,3,0,1,1,4,3,,,,,,0,0,0,,
4,2024-01-04,2024-01-10 00:00:00,,2023-12-05,2025-12-05,,3,completed,2024.0,1.0,4.0,3.0,1.0,0,0,0,2.0,4.0,2024,1,10,2,1,0,0,0,2,4,,,,,,0,0,0,,,2023,12,5,1,4,0,0,0,1,4,2025,12,5,4,4,0,0,0,1,4,,,,,,0,0,0,,
5,2024-01-05,2024-01-06 00:00:00,,2023-08-22,2025-08-22,,7,completed,2024.0,1.0,5.0,4.0,1.0,0,0,0,2.0,4.0,2024,1,6,5,1,1,0,0,2,4,,,,,,0,0,0,,,2023,8,22,1,3,0,0,0,4,2,2025,8,22,4,3,0,0,0,4,2,,,,,,0,0,0,,
6,2024-01-06,2024-01-12 00:00:00,,2023-07-18,2025-07-18,,2,completed,2024.0,1.0,6.0,5.0,1.0,1,0,0,2.0,4.0,2024,1,12,4,1,0,0,0,2,4,,,,,,0,0,0,,,2023,7,18,1,3,0,0,0,4,2,2025,7,18,4,3,0,0,0,4,2,,,,,,0,0,0,,
7,2024-01-07,2024-01-12 20:48:00,,2023-06-30,2025-06-30,,4,pending,2024.0,1.0,7.0,6.0,1.0,1,0,0,2.0,4.0,2024,1,12,4,1,0,0,0,2,4,,,,,,0,0,0,,,2023,6,30,4,2,0,1,1,3,2,2025,6,30,0,2,0,1,1,3,2,,,,,,0,0,0,,
8,,2024-01-13 17:36:00,,2023-05-25,2025-05-25,,1,completed,,,,,,0,0,0,,,2024,1,13,5,1,1,0,0,2,4,,,,,,0,0,0,,,2023,5,25,3,2,0,0,0,3,1,2025,5,25,6,2,1,0,0,3,1,,,,,,0,0,0,,
9,,2024-01-14 14:24:00,,2023-04-19,2025-04-19,,3,completed,,,,,,0,0,0,,,2024,1,14,6,1,1,0,0,2,4,,,,,,0,0,0,,,2023,4,19,2,2,0,0,0,3,1,2025,4,19,5,2,1,0,0,3,1,,,,,,0,0,0,,
10,,2024-01-15 11:12:00,,2023-03-22,2025-03-22,,5,completed,,,,,,0,0,0,,,2024,1,15,0,1,0,0,0,2,4,,,,,,0,0,0,,,2023,3,22,2,1,0,0,0,2,1,2025,3,22,5,1,1,0,0,2,1,,,,,,0,0,0,,
11,,2024-01-16 08:00:00,,2023-02-15,2022-02-15,,2,returned,,,,,,0,0,0,,,2024,1,16,1,1,0,0,0,2,4,,,,,,0,0,0,,,2023,2,15,2,1,0,0,0,2,4,2022,2,15,1,1,0,0,0,2,4,,,,,,0,0,0,,
12,,2024-01-17 04:48:00,,2023-01-10,2025-01-10,,1,completed,,,,,,0,0,0,,,2024,1,17,2,1,0,0,0,2,4,,,,,,0,0,0,,,2023,1,10,1,1,0,0,0,2,4,2025,1,10,4,1,0,0,0,2,4,,,,,,0,0,0,,
13,,2024-01-18 01:36:00,,2022-12-05,2024-12-05,,6,canceled,,,,,,0,0,0,,,2024,1,18,3,1,0,0,0,2,4,,,,,,0,0,0,,,2022,12,5,0,4,0,0,0,1,4,2024,12,5,3,4,0,0,0,1,4,,,,,,0,0,0,,
14,,2024-01-18 22:24:00,,2022-11-30,2024-11-30,,3,completed,,,,,,0,0,0,,,2024,1,18,3,1,0,0,0,2,4,,,,,,0,0,0,,,2022,11,30,2,4,0,1,0,1,3,2024,11,30,5,4,1,1,0,1,3,,,,,,0,0,0,,
15,,2024-01-19 19:12:00,,2022-10-22,2024-10-22,,4,completed,,,,,,0,0,0,,,2024,1,19,4,1,0,0,0,2,4,,,,,,0,0,0,,,2022,10,22,5,4,1,0,0,1,3,2024,10,22,1,4,0,0,0,1,3,,,,,,0,0,0,,
16,,2024-01-20 16:00:00,,2022-09-15,2024-09-15,,2,completed,,,,,,0,0,0,,,2024,1,20,5,1,1,0,0,2,4,,,,,,0,0,0,,,2022,9,15,3,3,0,0,0,4,3,2024,9,15,6,3,1,0,0,4,3,,,,,,0,0,0,,
17,,2024-01-21 12:48:00,,2022-08-10,2024-08-10,,1,completed,,,,,,0,0,0,,,2024,1,21,6,1,1,0,0,2,4,,,,,,0,0,0,,,2022,8,10,2,3,0,0,0,4,2,2024,8,10,5,3,1,0,0,4,2,,,,,,0,0,0,,
18,,2024-01-22 09:36:00,,2022-07-05,2024-07-05,,5,pending,,,,,,0,0,0,,,2024,1,22,0,1,0,0,0,2,4,,,,,,0,0,0,,,2022,7,5,1,3,0,0,0,4,2,2024,7,5,4,3,0,0,0,4,2,,,,,,0,0,0,,
19,,2024-01-23 06:24:00,,2022-06-20,2024-06-20,,3,completed,,,,,,0,0,0,,,2024,1,23,1,1,0,0,0,2,4,,,,,,0,0,0,,,2022,6,20,0,2,0,0,0,3,2,2024,6,20,3,2,0,0,0,3,2,,,,,,0,0,0,,
20,,2024-01-24 03:12:00,,2022-05-12,2024-05-12,,2,completed,,,,,,0,0,0,,,2024,1,24,2,1,0,0,0,2,4,,,,,,0,0,0,,,2022,5,12,3,2,0,0,0,3,1,2024,5,12,6,2,1,0,0,3,1,,,,,,0,0,0,,
21,2024-01-21,2024-01-25 00:00:00,,2022-04-08,2024-04-08,,4,completed,2024.0,1.0,21.0,6.0,1.0,1,0,0,2.0,4.0,2024,1,25,3,1,0,0,0,2,4,,,,,,0,0,0,,,2022,4,8,4,2,0,0,0,3,1,2024,4,8,0,2,0,0,0,3,1,,,,,,0,0,0,,
22,2024-01-22,2024-01-26 12:00:00,,2022-03-15,2022-02-15,,1,canceled,2024.0,1.0,22.0,0.0,1.0,0,0,0,2.0,4.0,2024,1,26,4,1,0,0,0,2,4,,,,,,0,0,0,,,2022,3,15,1,1,0,0,0,2,1,2022,2,15,1,1,0,0,0,2,4,,,,,,0,0,0,,
23,2024-01-23,2024-01-28 00:00:00,,2022-02-28,2024-02-28,,6,completed,2024.0,1.0,23.0,1.0,1.0,0,0,0,2.0,4.0,2024,1,28,6,1,1,0,0,2,4,,,,,,0,0,0,,,2022,2,28,0,1,0,1,0,2,4,2024,2,28,2,1,0,0,0,2,4,,,,,,0,0,0,,
24,2024-01-24,2024-01-29 00:00:00,,2022-01-20,2024-01-20,,2,completed,2024.0,1.0,24.0,2.0,1.0,0,0,0,2.0,4.0,2024,1,29,0,1,0,0,0,2,4,,,,,,0,0,0,,,2022,1,20,3,1,0,0,0,2,4,2024,1,20,5,1,1,0,0,2,4,,,,,,0,0,0,,
25,2024-01-25,2024-01-27 00:00:00,,2021-12-15,2023-12-15,,3,completed,2024.0,1.0,25.0,3.0,1.0,0,0,0,2.0,4.0,2024,1,27,5,1,1,0,0,2,4,,,,,,0,0,0,,,2021,12,15,2,4,0,0,0,1,4,2023,12,15,4,4,0,0,0,1,4,,,,,,0,0,0,,
26,2024-01-26,2024-01-30 00:00:00,,2021-11-10,2023-11-10,,5,completed,2024.0,1.0,26.0,4.0,1.0,0,0,0,2.0,4.0,2024,1,30,1,1,0,0,0,2,4,,,,,,0,0,0,,,2021,11,10,2,4,0,0,0,1,3,2023,11,10,4,4,0,0,0,1,3,,,,,,0,0,0,,
27,2024-01-27,2024-01-31 12:00:00,,2021-10-05,2023-10-05,,2,pending,2024.0,1.0,27.0,5.0,1.0,1,0,0,2.0,4.0,2024,1,31,2,1,0,1,0,2,4,,,,,,0,0,0,,,2021,10,5,1,4,0,0,0,1,3,2023,10,5,3,4,0,0,0,1,3,,,,,,0,0,0,,
28,2024-01-28,2024-02-02 00:00:00,,2021-09-22,2023-09-22,,4,completed,2024.0,1.0,28.0,6.0,1.0,1,0,0,2.0,4.0,2024,2,2,4,1,0,0,0,2,4,,,,,,0,0,0,,,2021,9,22,2,3,0,0,0,4,3,2023,9,22,4,3,0,0,0,4,3,,,,,,0,0,0,,
29,2024-01-29,2024-02-03 00:00:00,,2021-08-18,2023-08-18,,1,completed,2024.0,1.0,29.0,0.0,1.0,0,0,0,2.0,4.0,2024,2,3,5,1,1,0,0,2,4,,,,,,0,0,0,,,2021,8,18,2,3,0,0,0,4,2,2023,8,18,4,3,0,0,0,4,2,,,,,,0,0,0,,
30,2024-01-30,2024-02-01 00:00:00,,2021-07-12,2023-07-12,,3,completed,2024.0,1.0,30.0,1.0,1.0,0,0,0,2.0,4.0,2024,2,1,3,1,0,0,0,2,4,,,,,,0,0,0,,,2021,7,12,0,3,0,0,0,4,2,2023,7,12,2,3,0,0,0,4,2,,,,,,0,0,0,,
31,2024-01-31,2024-02-04 00:00:00,,2021-06-05,2023-06-05,,2,completed,2024.0,1.0,31.0,2.0,1.0,0,1,0,2.0,4.0,2024,2,4,6,1,1,0,0,2,4,,,,,,0,0,0,,,2021,6,5,5,2,1,0,0,3,2,2023,6,5,0,2,0,0,0,3,2,,,,,,0,0,0,,
32,2024-02-01,2024-02-05 12:00:00,,2021-05-20,2021-04-20,,5,canceled,2024.0,2.0,1.0,3.0,1.0,0,0,0,2.0,4.0,2024,2,5,0,1,0,0,0,2,4,,,,,,0,0,0,,,2021,5,20,3,2,0,0,0,3,1,2021,4,20,1,2,0,0,0,3,1,,,,,,0,0,0,,
33,2024-02-02,2024-02-07 00:00:00,,2021-04-15,2023-04-15,,3,completed,2024.0,2.0,2.0,4.0,1.0,0,0,0,2.0,4.0,2024,2,7,2,1,0,0,0,2,4,,,,,,0,0,0,,,2021,4,15,3,2,0,0,0,3,1,2023,4,15,5,2,1,0,0,3,1,,,,,,0,0,0,,
34,2024-02-03,2024-02-08 00:00:00,,2021-03-10,2023-03-10,,1,completed,2024.0,2.0,3.0,5.0,1.0,1,0,0,2.0,4.0,2024,2,8,3,1,0,0,0,2,4,,,,,,0,0,0,,,2021,3,10,2,1,0,0,0,2,1,2023,3,10,4,1,0,0,0,2,1,,,,,,0,0,0,,
35,2024-02-04,2024-02-09 00:00:00,,2021-02-22,2023-02-22,,4,completed,2024.0,2.0,4.0,6.0,1.0,1,0,0,2.0,4.0,2024,2,9,4,1,0,0,0,2,4,,,,,,0,0,0,,,2021,2,22,0,1,0,0,0,2,4,2023,2,22,2,1,0,0,0,2,4,,,,,,0,0,0,,
36,2024-02-05,2024-02-10 00:00:00,,2021-01-18,2023-01-18,,2,completed,2024.0,2.0,5.0,0.0,1.0,0,0,0,2.0,4.0,2024,2,10,5,1,1,0,0,2,4,,,,,,0,0,0,,,2021,1,18,0,1,0,0,0,2,4,2023,1,18,2,1,0,0,0,2,4,,,,,,0,0,0,,
37,2024-02-06,2024-02-11 00:00:00,,2020-12-12,2022-12-12,,6,pending,2024.0,2.0,6.0,1.0,1.0,0,0,0,2.0,4.0,2024,2,11,6,1,1,0,0,2,4,,,,,,0,0,0,,,2020,12,12,5,4,1,0,0,1,4,2022,12,12,0,4,0,0,0,1,4,,,,,,0,0,0,,
38,2024-02-07,2024-02-12 00:00:00,,2020-11-05,2022-11-05,,3,completed,2024.0,2.0,7.0,2.0,1.0,0,0,0,2.0,4.0,2024,2,12,0,1,0,0,0,2,4,,,,,,0,0,0,,,2020,11,5,3,4,0,0,0,1,3,2022,11,5,5,4,1,0,0,1,3,,,,,,0,0,0,,
39,2024-02-08,2024-02-13 00:00:00,,2020-10-20,2022-10-20,,1,completed,2024.0,2.0,8.0,3.0,1.0,0,0,0,2.0,4.0,2024,2,13,1,1,0,0,0,2,4,,,,,,0,0,0,,,2020,10,20,1,4,0,0,0,1,3,2022,10,20,3,4,0,0,0,1,3,,,,,,0,0,0,,
40,2024-02-09,2024-02-14 00:00:00,,2020-09-15,2022-09-15,,5,completed,2024.0,2.0,9.0,4.0,1.0,0,0,0,2.0,4.0,2024,2,14,2,1,0,0,0,2,4,,,,,,0,0,0,,,2020,9,15,1,3,0,0,0,4,3,2022,9,15,3,3,0,0,0,4,3,,,,,,0,0,0,,
41,2024-02-10,2024-02-15 00:00:00,,2020-08-10,2020-07-10,,2,returned,2024.0,2.0,10.0,5.0,1.0,1,0,0,2.0,4.0,2024,2,15,3,1,0,0,0,2,4,,,,,,0,0,0,,,2020,8,10,0,3,0,0,0,4,2,2020,7,10,4,3,0,0,0,4,2,,,,,,0,0,0,,
42,2024-02-11,2024-02-16 00:00:00,,2020-07-22,2022-07-22,,4,canceled,2024.0,2.0,11.0,6.0,1.0,1,0,0,2.0,4.0,2024,2,16,4,1,0,0,0,2,4,,,,,,0,0,0,,,2020,7,22,2,3,0,0,0,4,2,2022,7,22,4,3,0,0,0,4,2,,,,,,0,0,0,,
43,2024-02-12,2024-02-17 00:00:00,,2020-06-18,2022-06-18,,1,completed,2024.0,2.0,12.0,0.0,1.0,0,0,0,2.0,4.0,2024,2,17,5,1,1,0,0,2,4,,,,,,0,0,0,,,2020,6,18,3,2,0,0,0,3,2,2022,6,18,5,2,1,0,0,3,2,,,,,,0,0,0,,
44,2024-02-13,2024-02-18 00:00:00,,2020-05-12,2022-05-12,,3,completed,2024.0,2.0,13.0,1.0,1.0,0,0,0,2.0,4.0,2024,2,18,6,1,1,0,0,2,4,,,,,,0,0,0,,,2020,5,12,1,2,0,0,0,3,1,2022,5,12,3,2,0,0,0,3,1,,,,,,0,0,0,,
45,2024-02-14,2024-02-19 00:00:00,,2020-04-05,2022-04-05,,2,completed,2024.0,2.0,14.0,2.0,1.0,0,0,0,2.0,4.0,2024,2,19,0,1,0,0,0,2,4,,,,,,0,0,0,,,2020,4,5,6,2,1,0,0,3,1,2022,4,5,1,2,0,0,0,3,1,,,,,,0,0,0,,
