UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
1,44953,NYC,02-03-2020,trending new yorkers encounter empty supermarket shelf pictured wegmans brooklyn soldout online grocer foodkick maxdelivery coronavirusfearing shopper stock,Extremely Negative
2,44954,"Seattle, WA",02-03-2020,couldnt find hand sanitizer fred meyer turned amazon pack purellcheck coronavirus concern driving price,Positive
3,44955,,02-03-2020,find protect loved one coronavirus,Extremely Positive
4,44956,Chicagoland,02-03-2020,panic buying hit newyork city anxious shopper stock foodampmedical supply healthcare worker becomes bigapple st confirmed coronavirus patient bloomberg staged event qanon qanon qanon election cdc,Negative
5,44957,"Melbourne, Victoria",03-03-2020,toiletpaper dunnypaper coronavirus coronavirusaustralia coronavirusupdate covid news corvid newsmelb dunnypapergate costco one week everyone buying baby milk powder next everyone buying toilet paper,Neutral
6,44958,Los Angeles,03-03-2020,remember last time paid gallon regular gas los angelesprices pump going look coronavirus impacting price pm abc,Neutral
7,44959,,03-03-2020,voting age coronavirus hand sanitizer supertuesday,Positive
8,44960,"Geneva, Switzerland",03-03-2020,drtedros cant stop covid without protecting healthworkers price surgical mask increased sixfold n respirator trebled amp gown cost twice muchdrtedros coronavirus,Neutral
9,44961,,04-03-2020,hi twitter pharmacist sell hand sanitizer living exists like mask sold fuck everywhere worried use soap visit twenty pharmacy looking last bottle pharmacy full sick people,Extremely Negative
10,44962,"Dublin, Ireland",04-03-2020,anyone supermarket last day went normal shop last night amp sight greeted barmy btw whats special tinned tomato covid dublin,Extremely Positive
11,44963,"Boksburg, South Africa",04-03-2020,best quality couch unbelievably low price available order boksburg gp info whatsapp supertuesdsy powertalk covid sayentrepreneur djsbu,Positive
12,44964,New Delhi,04-03-2020,beware counterfeit trying sell fake mask cheap price let defeat coronavirus threat covid collectively besafe beacascader coronavirusreachesdelhi coronavirusindia,Extremely Negative
13,44965,"USA, PA",04-03-2020,panic food buying germany due coronavirus begun organic left behind hamsterkauf panic buying called hamster purchaseshamsterkäufe german taken way hamster stuff cheek food,Extremely Negative
14,44966,,04-03-2020,covid went grocery store turn cleaning supply bought fear coronavirus daughter substitute teacher showed class make hand sanitizer need buy alcohol wish luck store,Extremely Positive
15,44967,"Washington, DC",04-03-2020,busy watching election return bracing covid outbreak trump nominated chemicalindustry lobbyist head consumer product safety commission,Positive
16,44968,Bengaluru ,04-03-2020,airsewa flyspicejet providing webchecin customer free seat passenger forced choose paid seat free seat made available airport counter stopped its discriminatory traveller right hardeepspuri mocagoi,Extremely Negative
17,44969,Mumbai,05-03-2020,precautionary measure taken respective restaurant hotel comment covid coronavirus covid hotel chain enforce precautionary measure issue safety hygiene advisory,Extremely Positive
18,44970,"Toronto, Ontario",05-03-2020,youre stockpiling food amp supply buy extra local food bank many family dont luxury spend beyond weekly budget dailybreadto coronavirus,Neutral
19,44971,,05-03-2020,thats week bit optimistic probably take another month supply chain may recovering demand chain nonexistent u europe next month two spx qqq e nq,Positive
20,44972,Tallahassee,05-03-2020,study show coronavirus like covid live nine day hard surface like metal plastic glass deputy commissioner consumer affair mary barzee flores show keep clean gas pump watch share,Extremely Positive
21,44973,Malta,05-03-2020,coronavirus covid people starting become frightened panicshopping many shelf meanwhile turn empty good sold facemasks amp disinfection liquid sold sold exorbitant price blockchain cryptonews,Negative
22,44974,"Texas, USA",05-03-2020,think creditdebit good bitcoin come combating coronavirus keep mind contactless transaction many people grocery store gas station touch keypad every day,Extremely Positive
23,44975,"Florida, USA",06-03-2020,control stock gold lostgold coming back nicely love wallbridge balmoral warns listener coronavirus sprott money ltd recently put money ocg genm mmg many,Extremely Positive
24,44976,Chandigarh,06-03-2020,seller cashing panic sell facemasks sanitizers super inflated price reality neither sanitizer facemasks must save coronavirus please watch video,Extremely Positive
25,44977,Canada,07-03-2020,canada oilpatch bracing impact plunging crude price opec ally failed reach deal aimed cutting production economy slow novel coronavirus fool jkenney based budget hired oil price,Extremely Negative
26,44978,"Wayne County, MI",07-03-2020,alright yall hope melanin prevails case took precaution food amp water delivered ive mask month may open soon b fba coronavirususa covid,Positive
27,44979,"Bondi Beach, Sydney",07-03-2020,usual grocery shopping woolworth turn toilet paper fight supermarket aisle yikes toiletpaperpanic coronavirus taken whole new level,Negative
28,44980,,07-03-2020,coronavirus panic spread costco pulling free sample covid usa today coronavirus panic spread costco pulling free sample covid usa today pandemonium virus panicbuying hit los angeles yahoo news costco ha,Negative
29,44981,,07-03-2020,stocking waiting quarantine dont forget donate food water toiletry local food bank help others without mean stock get ahead becomes crisis covid coronavirus,Negative
30,44982,United States,07-03-2020,coronavirus exposure hole social safety net say nelp government affair director judy conti ui unemployment paidleaveforall,Positive
31,44983,"New York, New York",07-03-2020,two important phone number nyers know doctor insurance think may sick need tested coronavirus call state helpline report price gouging call div consumer protection,Negative
32,44984,"London, England",08-03-2020,tip pro wrestler help combat coronavirusbe like zoelucaspro bring hand sanitizer match precaution evewrestling prowrestlingeve,Extremely Positive
33,44985,USA,08-03-2020,effective necessary optic scare tactic american consumer u msm use optic intended effect fear crash u marketgtpanicgtelect biden qanon coronavirus,Extremely Negative
